ds,yhat,yhat_lower,yhat_upper
2013-01-01,379245.9515280144,242150.9977110924,513422.0074467787
2013-01-02,391588.65049934195,247479.85094532868,538380.4778701848
2013-01-03,292318.84353090764,150349.2326868885,434276.7320165186
2013-01-04,355656.90404777334,216792.775247257,490748.23139705433
2013-01-05,535641.5169292113,387101.09161512944,683189.8376364161
2013-01-06,579345.3023486771,439509.48951593554,717055.3025844768
2013-01-07,359831.7523468905,224857.47870591868,501124.0613187749
2013-01-08,303470.6188888306,167577.64990551412,433184.5709211539
2013-01-09,318967.4471381894,165502.58764186202,460373.1350894459
2013-01-10,223780.73530333227,89184.59031048765,356047.4026224167
2013-01-11,292002.2052950728,154604.7074640213,433583.4252914716
2013-01-12,477527.5678853253,333746.74612665485,626442.3608223732
2013-01-13,527275.8689752489,389174.06226341065,667073.1833533202
2013-01-14,314150.3652087937,168318.48250474862,459005.9119792447
2013-01-15,264357.96514920366,118980.4856208592,401752.7067750801
2013-01-16,286442.8249527454,148180.345348849,421312.7606247265
2013-01-17,197707.47564376993,49213.25721981535,323862.43339994
2013-01-18,272096.86526142625,137863.92388513425,420203.08214184403
2013-01-19,463372.6045227905,324816.5744538423,596488.5201025935
2013-01-20,518335.41596119024,376225.6873965211,658386.045780295
2013-01-21,309788.65877369425,172229.7544828508,443879.5399830828
2013-01-22,263859.90214193927,119490.14283298906,399324.65203489683
2013-01-23,289036.0866821661,149911.42351216907,419889.451304306
2013-01-24,202585.6171968743,63876.87831447648,342195.599826755
2013-01-25,278442.7521944202,130533.58340939507,424548.49844039144
2013-01-26,470381.5775024309,326326.78858776984,610540.0108110494
2013-01-27,525237.5789696232,383378.6093857141,668979.4125217124
2013-01-28,315869.7173641144,190935.55044128973,463685.21709952044
2013-01-29,268480.0239532816,128095.34273191124,404955.92829731066
2013-01-30,291646.3156639408,153643.77877304686,430465.16317342664
2013-01-31,202741.44400992154,69489.99968029396,347034.3364886321
2013-02-01,275814.52407801,136239.51381975305,412116.11789050425
2013-02-02,464761.5192198235,326929.5233867564,600722.4276275248
2013-02-03,516543.2898693038,379950.9614264528,664298.6177775884
2013-02-04,304144.10552549775,164846.73420129684,443678.57638273365
2013-02-05,253887.734252033,110491.28511671943,378846.5024525745
2013-02-06,274466.80178980756,138915.50976817674,421165.37879894156
2013-02-07,183358.9225497648,44512.35534143466,327790.68290853204
2013-02-08,254705.12938654568,112700.8926195397,398498.18158583855
2013-02-09,442478.0488839591,301669.5019313379,582550.3518030088
2013-02-10,493697.99028906756,358199.1621310632,621187.2511438151
2013-02-11,281389.99401979096,141293.67152631615,416408.9660971522
2013-02-12,231898.9870221613,93157.28848091852,365981.10132649826
2013-02-13,253918.75530045282,109783.02858522578,395197.5634327461
2013-02-14,164908.2391205878,33816.36643416013,304851.72474205535
2013-02-15,238970.66608241393,106317.42961211552,379369.2327483361
2013-02-16,430022.94268194184,287530.7163542957,574294.4767758263
2013-02-17,485013.4328350123,350025.6794305264,625730.6432826591
2013-02-18,276881.11734012066,133182.01653765742,415366.3291427035
2013-02-19,231873.2188685528,85886.32447872705,367967.4761753969
2013-02-20,258576.93123389815,126800.73790310195,401340.95724815235
2013-02-21,174338.68003537625,37612.82069824076,317065.31251117424
2013-02-22,253146.34686107156,118417.34663166339,388527.8541967308
2013-02-23,448801.79236727254,303175.2372870822,584224.9685920173
2013-02-24,508141.7214895722,368563.21833234356,646323.3999351498
2013-02-25,303999.80196948553,165501.4073621964,446653.7609801653
2013-02-26,262527.0423110034,124609.26167226907,407487.51617905434
2013-02-27,292225.99692877603,161260.33130321887,443612.64445594774
2013-02-28,210372.16208061797,63249.38260273304,358858.5312017203
2013-03-01,290897.94222474424,149749.48169951758,419852.0469125881
2013-03-02,487566.4807040369,350785.4222109234,628071.0193980912
2013-03-03,547193.3690759637,415496.03311197483,689132.6509132811
2013-03-04,342609.1303008893,202217.77224488618,482330.096169207
2013-03-05,299979.47954401054,164980.02525996434,450632.19377893186
2013-03-06,327838.940317336,189096.94766739968,475885.1068652787
2013-03-07,243511.20325546965,95821.87352627423,372884.9546991224
2013-03-08,320991.64188757894,188018.70495805622,455390.5279925742
2013-03-09,514119.32502895856,374606.5614619209,652594.3961219306
2013-03-10,569796.5950268385,429547.77826111444,705016.264283682
2013-03-11,360949.16959676123,219138.3754263656,491241.12943987094
2013-03-12,313843.8392692221,173167.84903902846,451287.7323404292
2013-03-13,337119.41021335317,188195.80445647947,478820.7064602423
2013-03-14,248204.35351281302,117428.66359726003,383945.2519677269
2013-03-15,321196.648689033,178643.8633261108,452042.68720654317
2013-03-16,510033.2321847706,375979.56069188024,655443.3445288944
2013-03-17,561707.1868583602,412096.9667272076,706596.661982462
2013-03-18,349225.690993166,212914.7807520588,483094.65282000456
2013-03-19,298925.851999633,154351.8705138573,435971.69005302666
2013-03-20,319504.11880375794,175129.306933492,458713.55002623977
2013-03-21,228432.7682056904,82017.35024707312,364892.7470705675
2013-03-22,299838.9764753802,165016.9406514175,434548.8805844004
2013-03-23,487673.8991608058,348461.73882463644,621837.3307364743
2013-03-24,538929.896110796,401192.02326587104,683709.2603874502
2013-03-25,326598.910037277,193462.13492434163,463372.2650803125
2013-03-26,276989.1030316808,143617.02840598102,414791.2401554257
2013-03-27,298755.41442107724,166548.60530141284,443532.9238494055
